"","ServiceCode","ServiceURL","FullSiteCode","FullVariableCode","BeginDateTime","EndDateTime","SiteName","Latitude","Longitude","DataType","ValueType","SampleMedium","TimeUnits","TimeSupport"
"447","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:480","CHMI-H:PRUTOK",2006-08-06,2015-08-10,"Jedlová",50.2916679382324,16.3452777862549,"Average","Field Observation","Water","hour",1
"448","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:481","CHMI-H:PRUTOK",2006-08-08,2014-12-28,"Nekor",50.0658340454102,16.5441665649414,"Average","Field Observation","Water","hour",1
"449","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:482","CHMI-H:PRUTOK",2006-08-05,2014-12-28,"Orlické Záhorí",50.3113899230957,16.4280548095703,"Average","Field Observation","Water","hour",1
"450","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:483","CHMI-H:PRUTOK",2006-08-06,2015-08-10,"Lichkov",50.0970497131348,16.6757621765137,"Average","Field Observation","Water","hour",1
"451","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:484","CHMI-H:PRUTOK",2006-08-04,2015-08-10,"Trebovice",49.8576889038086,16.5031585693359,"Average","Field Observation","Water","hour",1
"452","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:485","CHMI-H:PRUTOK",2006-08-04,2015-08-10,"VD Jesenice",50.0851020812988,12.4793262481689,"Average","Field Observation","Water","hour",1
"453","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:488","CHMI-H:PRUTOK",2006-08-04,2014-12-28,"Teplicka",50.1533317565918,12.8488893508911,"Average","Field Observation","Water","hour",1
"454","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:504","CHMI-H:PRUTOK",2006-08-09,2015-01-10,"VD Znojmo",48.8544425964355,16.0444450378418,"Average","Field Observation","Water","hour",1
"455","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:505","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Hevlín",48.7438011169434,16.3809242248535,"Average","Field Observation","Water","hour",1
"456","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:506","CHMI-H:PRUTOK",2006-08-05,2015-08-10,"Hrušovany nad Jevišovkou",48.8244552612305,16.4070091247559,"Average","Field Observation","Water","hour",1
"457","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:507","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Pribice",48.9650688171387,16.5591773986816,"Average","Field Observation","Water","hour",1
"458","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:508","CHMI-H:PRUTOK",2006-08-09,2015-01-03,"Moravský Krumlov",49.0516662597656,16.3077774047852,"Average","Field Observation","Water","hour",1
"459","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:509","CHMI-H:PRUTOK",2006-08-09,2015-01-10,"VD Mohelno",49.1033325195312,16.1849994659424,"Average","Field Observation","Water","hour",1
"460","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:510","CHMI-H:PRUTOK",2006-08-07,2015-01-03,"Dvorce",49.3824996948242,15.5041666030884,"Average","Field Observation","Water","hour",1
"461","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:511","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Velké Mezirící",49.353889465332,16.0086116790771,"Average","Field Observation","Water","hour",1
"462","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:512","CHMI-H:PRUTOK",2006-08-09,2015-01-10,"Baliny",49.339168548584,15.9624996185303,"Average","Field Observation","Water","hour",1
