"","SiteName","SiteCode","FullSiteCode","Latitude","Longitude","ServCode","ServURL"
"120","Vyšní Lhoty","1109","CHMI-D:1109",49.6254463195801,18.4665241241455,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"121","Ostrava","111","CHMI-D:111",49.8474998474121,18.2952785491943,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"122","Kojetín","1110","CHMI-D:1110",49.5617027282715,17.9822292327881,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"123","Štramberk","1111","CHMI-D:1111",49.5924263000488,18.1203022003174,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"124","Slatina","1112","CHMI-D:1112",49.786434173584,17.9774379730225,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"125","Nový Dvur","1113","CHMI-D:1113",49.7685279846191,17.9323921203613,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"126","Jindrichov","1114","CHMI-D:1114",49.641960144043,17.7480049133301,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"127","Senomaty","1115","CHMI-D:1115",50.0958290100098,13.6555595397949,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"128","Petrovice","1116","CHMI-D:1116",50.0678215026855,13.6419401168823,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"129","Unhošt","1117","CHMI-D:1117",50.0850601196289,14.1316699981689,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"130","Ruda","1118","CHMI-D:1118",50.1399993896484,13.8699998855591,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"131","Kladno","1119","CHMI-D:1119",50.1399993896484,14.1099996566772,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"132","Mitrov","112","CHMI-D:112",50.2108345031738,16.0233325958252,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"133","Vysoký Újezd","1120","CHMI-D:1120",49.9947204589844,14.204719543457,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"134","Kytín","1121","CHMI-D:1121",49.8467178344727,14.2180500030518,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"135","Strezimír","1122","CHMI-D:1122",49.5318984985352,14.6104640960693,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"136","Benešov","1123","CHMI-D:1123",49.7900009155273,14.6999998092651,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
